"","p.value","taxa","taxa.level","padj"
"1",0.154411764705882,"Ruminococcus_1","Genus",1
"2",0.227941176470588,"Cyanobacteria","Phylum",1
"3",0.411764705882353,"Deinococcus-Thermus","Phylum",1
"4",0.411764705882353,"Patescibacteria","Phylum",1
"5",0.411764705882353,"Deinococci","Class",1
"6",0.411764705882353,"Gracilibacteria","Class",1
"7",0.411764705882353,"Azospirillales","Order",1
"8",0.411764705882353,"Deinococcales","Order",1
"9",0.411764705882353,"JGI_0000069-P22","Order",1
"10",0.411764705882353,"Micavibrionales","Order",1
"11",0.411764705882353,"Azospirillaceae","Family",1
"12",0.411764705882353,"Family_XIII","Family",1
"13",0.411764705882353,"Rhizobiaceae","Family",1
"14",0.411764705882353,"Trueperaceae","Family",1
"15",0.411764705882353,"Azospirillum","Genus",1
"16",0.411764705882353,"Marvinbryantia","Genus",1
"17",0.411764705882353,"Ruminococcaceae_NK4A214_group","Genus",1
"18",0.411764705882353,"Ruminococcaceae_UCG-005","Genus",1
"19",0.411764705882353,"Truepera","Genus",1
"20",0.485294117647059,"Oxyphotobacteria","Class",1
"21",0.485294117647059,"Ruminococcus_2","Genus",1
"22",0.536764705882353,"Coprococcus_2","Genus",1
"23",0.637186343068696,"Lachnospiraceae","Family",1
"24",0.637186343068696,"Ruminococcaceae","Family",1
"25",0.643665158371041,"Caulobacterales","Order",1
"26",0.643665158371041,"Caulobacteraceae","Family",1
"27",1,"<NA>","Family",1
"28",1,"Archaea","Kingdom",1
"29",1,"Bacteria","Kingdom",1
"30",1,"Eukaryota","Kingdom",1
"31",1,"<NA>","Phylum",1
"32",1,"Actinobacteria","Phylum",1
"33",1,"Bacteroidetes","Phylum",1
"34",1,"Chloroflexi","Phylum",1
"35",1,"Deferribacteres","Phylum",1
"36",1,"Epsilonbacteraeota","Phylum",1
"37",1,"Euryarchaeota","Phylum",1
"38",1,"Firmicutes","Phylum",1
"39",1,"Fusobacteria","Phylum",1
"40",1,"Proteobacteria","Phylum",1
"41",1,"Tenericutes","Phylum",1
"42",1,"Verrucomicrobia","Phylum",1
"43",1,"WPS-2","Phylum",1
"44",1,"<NA>","Class",1
"45",1,"Actinobacteria","Class",1
"46",1,"Alphaproteobacteria","Class",1
"47",1,"Bacilli","Class",1
"48",1,"Bacteroidia","Class",1
"49",1,"Campylobacteria","Class",1
"50",1,"Clostridia","Class",1
"51",1,"Coriobacteriia","Class",1
"52",1,"Deferribacteres","Class",1
"53",1,"Deltaproteobacteria","Class",1
"54",1,"Erysipelotrichia","Class",1
"55",1,"Fusobacteriia","Class",1
"56",1,"Gammaproteobacteria","Class",1
"57",1,"KD4-96","Class",1
"58",1,"Melainabacteria","Class",1
"59",1,"Methanobacteria","Class",1
"60",1,"Mollicutes","Class",1
"61",1,"Saccharimonadia","Class",1
"62",1,"Verrucomicrobiae","Class",1
"63",1,"<NA>","Order",1
"64",1,"Acetobacterales","Order",1
"65",1,"Anaeroplasmatales","Order",1
"66",1,"Bacteroidales","Order",1
"67",1,"Betaproteobacteriales","Order",1
"68",1,"Campylobacterales","Order",1
"69",1,"Chloroplast","Order",1
"70",1,"Clostridiales","Order",1
"71",1,"Coriobacteriales","Order",1
"72",1,"Corynebacteriales","Order",1
"73",1,"Deferribacterales","Order",1
"74",1,"Desulfovibrionales","Order",1
"75",1,"Enterobacteriales","Order",1
"76",1,"Erysipelotrichales","Order",1
"77",1,"Fusobacteriales","Order",1
"78",1,"Gastranaerophilales","Order",1
"79",1,"Lactobacillales","Order",1
"80",1,"Methanobacteriales","Order",1
"81",1,"Micrococcales","Order",1
"82",1,"Mollicutes_RF39","Order",1
"83",1,"Nostocales","Order",1
"84",1,"Obscuribacterales","Order",1
"85",1,"PeM15","Order",1
"86",1,"Propionibacteriales","Order",1
"87",1,"Reyranellales","Order",1
"88",1,"Rhizobiales","Order",1
"89",1,"Rhodobacterales","Order",1
"90",1,"Rhodospirillales","Order",1
"91",1,"Saccharimonadales","Order",1
"92",1,"Sphingomonadales","Order",1
"93",1,"Verrucomicrobiales","Order",1
"94",1,"Acetobacteraceae","Family",1
"95",1,"Akkermansiaceae","Family",1
"96",1,"Anaeroplasmataceae","Family",1
"97",1,"Bacteroidaceae","Family",1
"98",1,"Beijerinckiaceae","Family",1
"99",1,"Burkholderiaceae","Family",1
"100",1,"Carnobacteriaceae","Family",1
"101",1,"Christensenellaceae","Family",1
"102",1,"Clostridiaceae_1","Family",1
"103",1,"Clostridiaceae_4","Family",1
"104",1,"Clostridiales_vadinBB60_group","Family",1
"105",1,"Coriobacteriales_Incertae_Sedis","Family",1
"106",1,"Corynebacteriaceae","Family",1
"107",1,"Deferribacteraceae","Family",1
"108",1,"Defluviitaleaceae","Family",1
"109",1,"Desulfovibrionaceae","Family",1
"110",1,"Eggerthellaceae","Family",1
"111",1,"Enterobacteriaceae","Family",1
"112",1,"Erysipelotrichaceae","Family",1
"113",1,"Family_XI","Family",1
"114",1,"Helicobacteraceae","Family",1
"115",1,"Hyphomicrobiaceae","Family",1
"116",1,"Leptotrichiaceae","Family",1
"117",1,"Magnetospirillaceae","Family",1
"118",1,"Marinifilaceae","Family",1
"119",1,"Methanobacteriaceae","Family",1
"120",1,"Microbacteriaceae","Family",1
"121",1,"Micrococcaceae","Family",1
"122",1,"Microcystaceae","Family",1
"123",1,"Muribaculaceae","Family",1
"124",1,"Peptococcaceae","Family",1
"125",1,"Peptostreptococcaceae","Family",1
"126",1,"Porphyromonadaceae","Family",1
"127",1,"Prevotellaceae","Family",1
"128",1,"Prolixibacteraceae","Family",1
"129",1,"Propionibacteriaceae","Family",1
"130",1,"Reyranellaceae","Family",1
"131",1,"Rhodobacteraceae","Family",1
"132",1,"Rikenellaceae","Family",1
"133",1,"Saccharimonadaceae","Family",1
"134",1,"Sphingomonadaceae","Family",1
"135",1,"Streptococcaceae","Family",1
"136",1,"Terasakiellaceae","Family",1
"137",1,"Xanthobacteraceae","Family",1
"138",1,"<NA>","Genus",1
"139",1,"28-4","Genus",1
"140",1,"A2","Genus",1
"141",1,"Acetanaerobacterium","Genus",1
"142",1,"Acetatifactor","Genus",1
"143",1,"Adlercreutzia","Genus",1
"144",1,"Aestuariispira","Genus",1
"145",1,"Agathobacter","Genus",1
"146",1,"Akkermansia","Genus",1
"147",1,"Anaerobacter","Genus",1
"148",1,"Anaerococcus","Genus",1
"149",1,"Anaerofilum","Genus",1
"150",1,"Anaeroplasma","Genus",1
"151",1,"Anaerotruncus","Genus",1
"152",1,"Anaerovorax","Genus",1
"153",1,"Angelakisella","Genus",1
"154",1,"Asaccharospora","Genus",1
"155",1,"ASF356","Genus",1
"156",1,"Asticcacaulis","Genus",1
"157",1,"ATCC-39006","Genus",1
"158",1,"Atopobacter","Genus",1
"159",1,"Bacteroides","Genus",1
"160",1,"Belnapia","Genus",1
"161",1,"Bilophila","Genus",1
"162",1,"Blastomonas","Genus",1
"163",1,"Blautia","Genus",1
"164",1,"Brevundimonas","Genus",1
"165",1,"Butyrivibrio","Genus",1
"166",1,"CAG-873","Genus",1
"167",1,"Candidatus_Arthromitus","Genus",1
"168",1,"Candidatus_Saccharimonas","Genus",1
"169",1,"Candidatus_Stoquefichus","Genus",1
"170",1,"Caproiciproducens","Genus",1
"171",1,"Caulobacter","Genus",1
"172",1,"Cellulosibacter","Genus",1
"173",1,"Chalicogloea_CCALA_975","Genus",1
"174",1,"Christensenella","Genus",1
"175",1,"Christensenellaceae_R-7_group","Genus",1
"176",1,"Clostridium_sensu_stricto_1","Genus",1
"177",1,"Clostridium_sensu_stricto_4","Genus",1
"178",1,"Coprococcus_3","Genus",1
"179",1,"Cutibacterium","Genus",1
"180",1,"Defluviitaleaceae_UCG-011","Genus",1
"181",1,"DNF00809","Genus",1
"182",1,"Dorea","Genus",1
"183",1,"Eggerthia","Genus",1
"184",1,"Enterorhabdus","Genus",1
"185",1,"Erysipelatoclostridium","Genus",1
"186",1,"Faecalibacterium","Genus",1
"187",1,"Faecalitalea","Genus",1
"188",1,"Family_XIII_AD3011_group","Genus",1
"189",1,"Family_XIII_UCG-001","Genus",1
"190",1,"FD2005","Genus",1
"191",1,"Fournierella","Genus",1
"192",1,"GCA-900066225","Genus",1
"193",1,"GCA-900066575","Genus",1
"194",1,"GCA-900066755","Genus",1
"195",1,"Halodurantibacterium","Genus",1
"196",1,"Harryflintia","Genus",1
"197",1,"Helicobacter","Genus",1
"198",1,"Herbinix","Genus",1
"199",1,"Holdemania","Genus",1
"200",1,"Hyphomicrobium","Genus",1
"201",1,"Intestinimonas","Genus",1
"202",1,"Isobaculum","Genus",1
"203",1,"Lachnoclostridium_12","Genus",1
"204",1,"Lachnospiraceae_FE2018_group","Genus",1
"205",1,"Lachnospiraceae_ND3007_group","Genus",1
"206",1,"Lachnospiraceae_NK4A136_group","Genus",1
"207",1,"Lachnospiraceae_NK4B4_group","Genus",1
"208",1,"Lachnospiraceae_UCG-006","Genus",1
"209",1,"Lachnospiraceae_UCG-010","Genus",1
"210",1,"Lactonifactor","Genus",1
"211",1,"Lawsonella","Genus",1
"212",1,"Leptotrichia","Genus",1
"213",1,"Mangrovibacterium","Genus",1
"214",1,"Methanobacterium","Genus",1
"215",1,"Methanobrevibacter","Genus",1
"216",1,"Methylobacterium","Genus",1
"217",1,"Mobilitalea","Genus",1
"218",1,"Mucispirillum","Genus",1
"219",1,"Muribaculum","Genus",1
"220",1,"Nitrobacter","Genus",1
"221",1,"Odoribacter","Genus",1
"222",1,"Oscillibacter","Genus",1
"223",1,"Oscillospira","Genus",1
"224",1,"Papillibacter","Genus",1
"225",1,"Paracraurococcus","Genus",1
"226",1,"Paraprevotella","Genus",1
"227",1,"Parasporobacterium","Genus",1
"228",1,"Parasutterella","Genus",1
"229",1,"Peptoniphilus","Genus",1
"230",1,"Phaeospirillum","Genus",1
"231",1,"Phenylobacterium","Genus",1
"232",1,"Phocea","Genus",1
"233",1,"possible_genus_Sk018","Genus",1
"234",1,"Pseudoflavonifractor","Genus",1
"235",1,"Psychroglaciecola","Genus",1
"236",1,"Pygmaiobacter","Genus",1
"237",1,"Reyranella","Genus",1
"238",1,"Rhodobacter","Genus",1
"239",1,"Romboutsia","Genus",1
"240",1,"Roseburia","Genus",1
"241",1,"Rothia","Genus",1
"242",1,"Rubellimicrobium","Genus",1
"243",1,"Ruminiclostridium","Genus",1
"244",1,"Ruminiclostridium_5","Genus",1
"245",1,"Ruminiclostridium_6","Genus",1
"246",1,"Ruminiclostridium_9","Genus",1
"247",1,"Ruminococcaceae_UCG-003","Genus",1
"248",1,"Ruminococcaceae_UCG-009","Genus",1
"249",1,"Ruminococcaceae_UCG-010","Genus",1
"250",1,"Ruminococcaceae_UCG-013","Genus",1
"251",1,"Ruminococcaceae_UCG-014","Genus",1
"252",1,"S50_wastewater-sludge_group","Genus",1
"253",1,"Sellimonas","Genus",1
"254",1,"Shuttleworthia","Genus",1
"255",1,"Sphingomonas","Genus",1
"256",1,"Sphingopyxis","Genus",1
"257",1,"Stakelama","Genus",1
"258",1,"Subdoligranulum","Genus",1
"259",1,"Tyzzerella","Genus",1
"260",1,"UBA1819","Genus",1
"261",1,"UC5-1-2E3","Genus",1
"262",1,"Xanthobacter","Genus",1
